0	/	Safari	9.0.3	Mac OS	10.11.3	undefined	undefined	["Host","Accept-Encoding","Accept","User-Agent","Accept-Language","Cache-Control","Connection"]
1	/	Firefox	43.0	Mac OS	10.11	undefined	undefined	["Host","User-Agent","Accept","Accept-Language","Accept-Encoding","Connection","Cache-Control"]
2	/	Chrome	49.0.2623.112	Mac OS	10.11.3	undefined	undefined	["Host","Connection","Cache-Control","Accept","Accept-Encoding","Accept-Language","Upgrade-Insecure-Requests","User-Agent"]
3	/favicon.ico	Chrome	49.0.2623.112	Mac OS	10.11.3	undefined	undefined	["Host","Connection","Accept","Accept-Encoding","Accept-Language","User-Agent"]
4	/	Chrome	50.0.2661.86	Mac OS	10.11.3	undefined	undefined	["Host","Connection","Cache-Control","Accept","Upgrade-Insecure-Requests","User-Agent","Accept-Encoding","Accept-Language"]
5	/favicon.ico	Chrome	50.0.2661.86	Mac OS	10.11.3	undefined	undefined	["Host","Connection","Pragma","Cache-Control","User-Agent","Accept","Referer","Accept-Encoding","Accept-Language"]
